,party,votes,eligible_count,blank,invalid,total_valid,total_casted,time_stamp,address,names,refs,links,year
9,Michael Ellegaard,0,198,3,0,179,182,2011-09-16 12:19:08,Højskolen på Helnæs                    Helnæs Byvej 63                    5631 Ebberup,Helnæs,F604420005.htm,https://www.kmdvalg.dk/fv/2011/F604420005.htm,2011
10,Lars Grønbæk Larsen,0,198,3,0,179,182,2011-09-16 12:19:08,Højskolen på Helnæs                    Helnæs Byvej 63                    5631 Ebberup,Helnæs,F604420005.htm,https://www.kmdvalg.dk/fv/2011/F604420005.htm,2011
0,Socialdemokratiet,6,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
1,Radikale Venstre,4,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
2,Det Konservative Folkeparti,0,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
3,SF - Socialistisk Folkeparti,0,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
4,Liberal Alliance,1,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
5,Kristendemokraterne,0,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
6,Dansk Folkeparti,3,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
7,"Venstre, Danmarks Liberale Parti",9,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
8,Enhedslisten - De Rød-Grønne,0,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
9,Michael Ellegaard,0,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
10,Lars Grønbæk Larsen,0,30,0,1,23,24,2011-09-16 10:07:32,Naturskolen på Baagø                    Prinsehøjsvej 17                    5610 Assens,Bågø,F604420006.htm,https://www.kmdvalg.dk/fv/2011/F604420006.htm,2011
0,Socialdemokratiet,178,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
1,Radikale Venstre,61,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
2,Det Konservative Folkeparti,38,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
3,SF - Socialistisk Folkeparti,62,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
4,Liberal Alliance,39,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
5,Kristendemokraterne,2,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
6,Dansk Folkeparti,82,767,8,3,690,701,2011-09-16 14:07:57,Gummerup Skole                    Byvejen 57                    5620 Glamsbjerg,Køng,F604420007.htm,https://www.kmdvalg.dk/fv/2011/F604420007.htm,2011
