kommunekod;objectid;id_lokalid;afstemni00;kmd_name;municipality;refs
320;1292093;702698;Nordskovskolen (Hallen);Haslev 01;Faxe Kommune;F505320001.htm
320;1291907;710328;Rønnede Hallen;Rønnede;Faxe Kommune;F505320007.htm
320;1292295;704216;Sofiendalskolen;Haslev 02;Faxe Kommune;F505320002.htm
210;1278072;709818;Egedalshallen;Kokkedal;Fredensborg Kommune;F302210005.htm
210;1278074;709824;Endrupskolens Hal;Fredensborg;Fredensborg Kommune;F302210002.htm
210;1275927;703808;Fredensborg-Hallen;Asminderød;Fredensborg Kommune;F302210001.htm
210;1275928;703814;Humlebæk Skole;Baunebjerg;Fredensborg Kommune;F302210004.htm
210;1277168;703766;Humlebæk-Hallen;Humlebæk;Fredensborg Kommune;F302210003.htm
210;1277820;700760;Karlebo Kro;Karlebo;Fredensborg Kommune;F302210008.htm
210;1275558;702010;"Nivå Skole Nord;";Nivå;Fredensborg Kommune;F302210009.htm
210;1277402;708376;NKK-Hallen;Niverød;Fredensborg Kommune;F302210007.htm
607;1292488;709738;Bredstrup-Pjedstedhallen;Bredstrup-Pjedsted;Fredericia Kommune;F710607002.htm
607;1292504;711148;Bøgeskovhallen;Bøgeskov;Fredericia Kommune;F710607007.htm
607;1292498;705216;Elbo-Hallen;Erritsø;Fredericia Kommune;F710607003.htm
607;1292490;701876;Erritsø-Hallen;Taulov;Fredericia Kommune;F710607005.htm
607;1292492;707936;Fredericia Gymnasium;Gymnasiet;Fredericia Kommune;F710607001.htm
607;1292500;707944;Fredericia Idrætscenter;Søndermarken;Fredericia Kommune;F710607006.htm
607;1292506;712216;Fredericia Rådhus;Indre By;Fredericia Kommune;F710607008.htm
607;1292502;709732;Herslev Forsamlingshus;Herslev;Fredericia Kommune;F710607004.htm
147;1278112;709590;Bülowsvejhallen;"10. Kreds; Bülowsvej";Frederiksberg Kommune;F110147003.htm
147;1277848;701726;Frederiksberg Rådhushal;"11. Kreds; Rådhuset";Frederiksberg Kommune;F111147007.htm
147;1276886;709552;Lindevangskolen;"11. Kreds; Lindevang";Frederiksberg Kommune;F111147005.htm
147;1276657;705122;Ny Hollænderskolen;"10. Kreds; Ny Hollænder";Frederiksberg Kommune;F110147002.htm
147;1277773;711030;Skolen på Duevej;"10. Kreds; Duevej";Frederiksberg Kommune;F110147004.htm
147;1276954;710972;Skolen på Nyelandsvej;"11. Kreds; Nyelandsvej";Frederiksberg Kommune;F111147008.htm
147;1276554;701758;Skolen ved Søerne;"10. Kreds; Søerne";Frederiksberg Kommune;F110147001.htm
147;1277600;703490;Søndermarkskolen;"11. Kreds; Søndermark";Frederiksberg Kommune;F111147006.htm
813;1303520;706336;Abildgårdhallen;Frederikshavn Nord;Frederikshavn Kommune;F1001813007.htm
813;1303522;707846;Aktivitetscentret;Frederikshavn Syd;Frederikshavn Kommune;F1001813009.htm
813;1303531;710978;Arena Nord;Frederikshavn Midt;Frederikshavn Kommune;F1001813008.htm
813;1276937;712132;Bannerslundhallen;Elling;Frederikshavn Kommune;F1001813005.htm
813;1275949;705090;Chang-Thai Selskabslokale;Lyngså;Frederikshavn Kommune;F1001813022.htm
813;1278141;712112;Dybvadhallens Cafeteria;Dybvad;Frederikshavn Kommune;F1001813014.htm
813;1275571;703530;Gærum Skole;Gærum;Frederikshavn Kommune;F1001813011.htm
813;1275645;706348;Hotel Skagen Strand;Hulsig;Frederikshavn Kommune;F1001813002.htm
813;1276654;703516;Hørby Skole;Hørby;Frederikshavn Kommune;F1001813015.htm
813;1276468;712138;Idræts- & Kulturcenter;Østervrå;Frederikshavn Kommune;F1001813021.htm
813;1303526;709634;Jerup Forsamlingshus;Jerup;Frederikshavn Kommune;F1001813004.htm
813;1275720;712118;Præstbro Gæstgivergård;Præstbro;Frederikshavn Kommune;F1001813016.htm
813;1276891;709628;Ravnshøj Skole;Ravnshøj;Frederikshavn Kommune;F1001813010.htm
813;1277936;705148;Skagen Kultur- og Fritidscenter;Skagen;Frederikshavn Kommune;F1001813001.htm
813;1277932;703510;Skæve Idrætsforenings Klubhus;Brønden;Frederikshavn Kommune;F1001813013.htm
813;1277931;703504;Stensnæsskolen;Voerså;Frederikshavn Kommune;F1001813019.htm
813;1303524;711060;Strandby Borger- og Kulturhus;Strandby;Frederikshavn Kommune;F1001813006.htm
813;1275715;711054;Syvsten Kro & Motel;Volstrup;Frederikshavn Kommune;F1001813020.htm
813;1276198;705142;Sæby Kulturhus;Sæby;Frederikshavn Kommune;F1001813012.htm
813;1277153;703536;Understed Idræts- & Forsamlingshus;Understed;Frederikshavn Kommune;F1001813018.htm
813;1276919;711036;Vendelbokroen;Thorshøj;Frederikshavn Kommune;F1001813017.htm
813;1277156;705156;Ålbæk Kulturhus;Ålbæk;Frederikshavn Kommune;F1001813003.htm
250;1282408;710206;Frederikssundhallen;Frederikssund Midt;Frederikssund Kommune;F304250001.htm
250;1282434;704070;Møllegårdhallen;Jægerspris;Frederikssund Kommune;F304250005.htm
250;1282496;702366;Skibby Idrætshal;Skibby;Frederikssund Kommune;F304250004.htm
250;1282410;707024;Slangerup Idræts- og Kulturcenter;Slangerup;Frederikssund Kommune;F304250006.htm
250;1282500;701052;"Trekløverskolen; Græse Bakkeby";Frederikssund Nord;Frederikssund Kommune;F304250002.htm
250;1282444;704056;"Ådalens Skole; Hal 2";Frederikssund Syd;Frederikssund Kommune;F304250003.htm
190;1292357;708606;Farum Arena;Stavnsholt;Furesø Kommune;F305190005.htm
190;1292355;710110;Hareskovhallen;Hareskov;Furesø Kommune;F305190002.htm
190;1292361;710104;Jonstrup Gl. Seminarium;Jonstrup;Furesø Kommune;F305190004.htm
190;1292351;705614;Solvangskolens Hal;Solvang;Furesø Kommune;F305190006.htm
190;1292353;703986;Søndersøhallen;Søndersø;Furesø Kommune;F305190003.htm
190;1292349;706956;"Teatersalen; Kulturhuset";Paltholm;Furesø Kommune;F305190007.htm
190;1292359;700970;Værløsehallen;Værløse;Furesø Kommune;F305190001.htm
430;1276861;709036;Allested-Vejle Forsamlingshus;Allested-Vejle;Faaborg-Midtfyn Kommune;F608430001.htm
430;1276479;711756;Avernakø Forsamlingshus;Avernakø;Faaborg-Midtfyn Kommune;F608430005.htm
430;1277380;707478;Brobyværk Kro;Brobyværk;Faaborg-Midtfyn Kommune;F608430002.htm
430;1276459;708944;Bøgebjerghallen;Vester Aaby;Faaborg-Midtfyn Kommune;F608430012.htm
430;1275999;707460;Carl Nielsen Hallen;Nr. Lyndelse;Faaborg-Midtfyn Kommune;F608430020.htm
430;1277942;704544;Damgaarden;Lyø;Faaborg-Midtfyn Kommune;F608430010.htm
430;1276038;709014;Espe Forsamlingshus;Espe;Faaborg-Midtfyn Kommune;F608430013.htm
430;1278037;707454;Ferritslev Fritidshus;Ferritslev;Faaborg-Midtfyn Kommune;F608430021.htm
430;1277840;701392;Forum Faaborg - Hal 2;Faaborg;Faaborg-Midtfyn Kommune;F608430007.htm
430;1276241;704576;Gislev Forsamlingshus;Gislev;Faaborg-Midtfyn Kommune;F608430017.htm
430;1277905;703044;Hillerslev Landsbycenter;Hillerslev;Faaborg-Midtfyn Kommune;F608430014.htm
430;1276072;710612;Horne Forsamlingshus;Horne;Faaborg-Midtfyn Kommune;F608430008.htm
430;1277742;709008;Korinth Kulturhus;Korinth;Faaborg-Midtfyn Kommune;F608430009.htm
430;1275587;704582;Kværndrup Forsamlingshus;Kværndrup;Faaborg-Midtfyn Kommune;F608430018.htm
430;1275736;711798;Midtfyns Fritidscenter;Ringe;Faaborg-Midtfyn Kommune;F608430015.htm
430;1278338;707442;Nr. Broby Forsamlingshus;Nørre Broby;Faaborg-Midtfyn Kommune;F608430003.htm
430;1277516;701422;Ryslinge Forsamlingshus;Ryslinge;Faaborg-Midtfyn Kommune;F608430019.htm
430;1276716;704554;Svanninge Sognegaard;Svanninge;Faaborg-Midtfyn Kommune;F608430011.htm
430;1277774;710674;Søllinge Forsamlingshus;Søllinge;Faaborg-Midtfyn Kommune;F608430016.htm
430;1278250;704606;X-huset;Vester Hæsinge;Faaborg-Midtfyn Kommune;F608430004.htm
430;1276794;706054;Årslev Hallen;Årslev;Faaborg-Midtfyn Kommune;F608430022.htm
157;1275835;702878;Bakkegårdshallen;Bakkegård;Gentofte Kommune;F201157004.htm
157;1276147;701254;Copenhagen Internat. School;Hellerup;Gentofte Kommune;F201157007.htm
157;1278502;711716;Kildegård Privatskole;Dyssegård;Gentofte Kommune;F201157005.htm
157;1277146;702890;Maglegårdshallen;Maglegård;Gentofte Kommune;F201157006.htm
157;1275900;704436;Munkegårdsskolen;Munkegård;Gentofte Kommune;F201157002.htm
157;1276173;702872;Ordruphallen;Ordrup;Gentofte Kommune;F201157008.htm
157;1277529;702884;Rådhuset;Rådhuset;Gentofte Kommune;F201157003.htm
157;1276046;708814;Skovgårdsskolen;Skovgård;Gentofte Kommune;F201157010.htm
157;1276674;704424;Skovshoved Skole;Skovshoved;Gentofte Kommune;F201157009.htm
157;1278330;707338;Tjørnegårdsskolen;Jægersborg;Gentofte Kommune;F201157001.htm
159;1277372;708600;Bibliografen;Bagsværd;Gladsaxe Kommune;F203159001.htm
159;1276172;702286;Gladsaxe Skole;Egegård;Gladsaxe Kommune;F203159003.htm
159;1276885;710060;Grønnemose Skole;Grønnemose;Gladsaxe Kommune;F203159004.htm
159;1277488;711428;Hovedbiblioteket;Hovedbiblioteket;Gladsaxe Kommune;F203159002.htm
159;1275785;700958;Mørkhøj skole;Mørkhøj;Gladsaxe Kommune;F203159005.htm
159;1278270;706944;Skovbrynet Skole;Værebro;Gladsaxe Kommune;F203159009.htm
159;1277830;700934;Stengård Skole;Stengård;Gladsaxe Kommune;F203159006.htm
159;1277981;706974;Søborg Skole;Søborg;Gladsaxe Kommune;F203159007.htm
159;1277371;708592;Vadgård Skole;Vadgård;Gladsaxe Kommune;F203159008.htm
161;1291627;711278;"Glostrup Skole; Ejby";Ejbyskolen;Glostrup Kommune;F208161005.htm
161;1292233;702064;"Glostrup Skole; Nordvang";Nordvangskolen;Glostrup Kommune;F208161001.htm
161;1291619;700820;"Glostrup Skole; Vestervang";Vestervangskolen;Glostrup Kommune;F208161004.htm
161;1291877;700826;Hvissingehallen;Hvissingehallen;Glostrup Kommune;F208161006.htm
161;1292121;708406;Sognegården;Sognegården;Glostrup Kommune;F208161002.htm
161;1291953;708412;Søndervanghallen;Søndervangskolen;Glostrup Kommune;F208161003.htm
253;1291773;718892;Arenaskolen;Arenaskolen;Greve Kommune;F507253001.htm
253;1291691;718898;Holmeagerskolen;Holmeagerskolen;Greve Kommune;F507253003.htm
253;1291695;718904;Hundigehallen;Hundige Hallen;Greve Kommune;F507253007.htm
253;1291697;718910;Karlslundehallerne;Karlslunde Hallerne;Greve Kommune;F507253005.htm
253;1292101;718916;Krogårdskolen;Krogårdskolen;Greve Kommune;F507253002.htm
253;1292197;718922;Mosedeskolen;Mosedeskolen;Greve Kommune;F507253004.htm
253;1292009;718928;Tunehallerne;Tune Hallerne;Greve Kommune;F507253006.htm
270;1290404;705834;Annisse Forsamlingshus;Annisse;Gribskov Kommune;F303270005.htm
270;1290412;708756;"Gilbjergskolen; Blistrup";Blistrup;Gribskov Kommune;F303270001.htm
270;1290418;711598;Gillelejehallen;Gilleleje;Gribskov Kommune;F303270006.htm
270;1290397;704286;Gribskovhallen;Græsted;Gribskov Kommune;F303270004.htm
270;1290420;704298;Helsingehallen;Helsinge;Gribskov Kommune;F303270008.htm
270;1290393;705812;Mårum Forsamlingshus;Mårum;Gribskov Kommune;F303270009.htm
270;1290408;702752;Ramløsehallen;Ramløse;Gribskov Kommune;F303270010.htm
270;1290406;707246;Søborg Forsamlingshus;Søborg;Gribskov Kommune;F303270007.htm
270;1290414;701158;Tingbakkehallen;Esbønderup;Gribskov Kommune;F303270002.htm
270;1290410;701184;Tisvilde Idrætshus;Tibirke;Gribskov Kommune;F303270012.htm
270;1290399;708732;Valby Forsamlingshus;Valby;Gribskov Kommune;F303270003.htm
270;1290395;704292;Vejby Forsamlingshus;Vejby;Gribskov Kommune;F303270011.htm
376;1276786;706386;Ejegodhallen;Ejegod;Guldborgsund Kommune;F502376004.htm
376;1276939;712156;Eskilstrup-Hallerne;Eskilstrup;Guldborgsund Kommune;F502376012.htm
376;1278423;709572;Guldborgland Gl. Skole;Majbølle;Guldborgsund Kommune;F502376014.htm
376;1276461;709640;Horrebyhallen;Horreby;Guldborgsund Kommune;F502376017.htm
376;1275850;703548;Idestrup Forsamlingshus;Idestrup;Guldborgsund Kommune;F502376018.htm
376;1276197;705108;Idræts- og Medborgerhuset;Gedser;Guldborgsund Kommune;F502376020.htm
376;1276892;709670;Landsbyen;Våbensted;Guldborgsund Kommune;F502376015.htm
376;1278005;706380;Lindeskovskolen;Lindeskov;Guldborgsund Kommune;F502376003.htm
376;1278497;712124;Nordbyskolen;Kraghave;Guldborgsund Kommune;F502376005.htm
376;1277438;711018;Nr.Vedby Fritids- og Idrætscenter;Nørre Vedby;Guldborgsund Kommune;F502376011.htm
376;1277433;709646;Nykøbing F. Hallen;Byen;Guldborgsund Kommune;F502376001.htm
376;1278486;712080;Nysted Idrætssal;Nysted;Guldborgsund Kommune;F502376008.htm
376;1276553;701748;Nørre Alslev Skole;Nørre Alslev;Guldborgsund Kommune;F502376010.htm
376;1278334;707852;Sakskøbing Sportscenter;Sakskøbing;Guldborgsund Kommune;F502376013.htm
376;1276192;703496;Stubbekøbing Hallen;Stubbekøbing;Guldborgsund Kommune;F502376016.htm
376;1275815;701828;Sundskolen;Sundby;Guldborgsund Kommune;F502376007.htm
376;1278206;701778;Torebyhallen;Toreby;Guldborgsund Kommune;F502376006.htm
376;1275811;701764;Væggerløse Hallen;Væggerløse;Guldborgsund Kommune;F502376019.htm
376;1275605;705042;Øster Ulslev Forsamlingshus;Øster Ulslev;Guldborgsund Kommune;F502376009.htm
376;1275572;703554;Østre Skole;Østerbro;Guldborgsund Kommune;F502376002.htm
510;1289231;707626;Arnum Forsamlingshus;Arnum;Haderslev Kommune;F713510002.htm
510;1289201;710758;Bevtoft Forsamlingshus;Bevtoft;Haderslev Kommune;F713510025.htm
510;1292173;709412;"Favrdalskolen; Gymnastiksalen";Haderslev Øst;Haderslev Kommune;F713510011.htm
510;1289219;701506;Fjelstrup Forsamlingshus;Fjelstrup;Haderslev Kommune;F713510024.htm
510;1289189;701494;Fole Friskole;Fole;Haderslev Kommune;F713510004.htm
510;1289276;710740;Fælleshuset Vedsted;Vedsted;Haderslev Kommune;F713510035.htm
510;1289259;706096;Gram Fritidscenter;Gram;Haderslev Kommune;F713510001.htm
510;1289243;709390;Gretbjerghus;Halk;Haderslev Kommune;F713510022.htm
510;1289199;703304;Hammelev Hallen;Hammelev;Haderslev Kommune;F713510030.htm
510;1289203;709300;Harmonien;Haderslev Midtby;Haderslev Kommune;F713510007.htm
510;1292175;711872;Hiort Lorenzens Centret;Haderslev Nord;Haderslev Kommune;F713510010.htm
510;1289221;703202;Hoptrup Aktivitetscenter;Hoptrup;Haderslev Kommune;F713510013.htm
