kommunekod;objectid;id_lokalid;afstemni00;kmd_name;municipality;refs;refs;municipality;names;constituency
710;1290643;711042;Østervangshallen;Hadsten Syd;Favrskov Kommune;F808710002.htm;F808710002.htm;Favrskov Kommune;Hadsten Syd;Favrskovkredsen
710;1290627;709610;HØST Hallen;Hadbjerg;Favrskov Kommune;F808710003.htm;F808710003.htm;Favrskov Kommune;Hadbjerg;Favrskovkredsen
710;1290623;706354;Hammel Idrætscenter;Hammel Nord;Favrskov Kommune;F808710004.htm;F808710004.htm;Favrskov Kommune;Hammel Nord;Favrskovkredsen
710;1290616;706342;Farre Forsamlingshus;Hammel Syd;Favrskov Kommune;F808710005.htm;F808710005.htm;Favrskov Kommune;Hammel Syd;Favrskovkredsen
710;1290629;709596;Haldum-Hinnerup Hallen;Haldum-Hinnerup/Vitten;Favrskov Kommune;F808710006.htm;F808710006.htm;Favrskov Kommune;Haldum-Hinnerup/Vitten;Favrskovkredsen
710;1290631;705102;Rønbæk Idrætscenter;Rønbæk/Grundfør;Favrskov Kommune;F808710007.htm;F808710007.htm;Favrskov Kommune;Rønbæk/Grundfør;Favrskovkredsen
710;1290621;704336;Foldby Forsamlingshus;Foldby;Favrskov Kommune;F808710008.htm;F808710008.htm;Favrskov Kommune;Foldby;Favrskovkredsen
710;1290618;707834;Ulstruphallerne;Ulstrup;Favrskov Kommune;F808710009.htm;F808710009.htm;Favrskov Kommune;Ulstrup;Favrskovkredsen
710;1290635;707278;Tungelund Aktivitetscenter;Thorsø/Haurum/Sall;Favrskov Kommune;F808710010.htm;F808710010.htm;Favrskov Kommune;Thorsø/Haurum/Sall;Favrskovkredsen
710;1290614;711048;Laurbjerg Hallen;Laurbjerg/Houlbjerg;Favrskov Kommune;F808710011.htm;F808710011.htm;Favrskov Kommune;Laurbjerg/Houlbjerg;Favrskovkredsen
710;1290625;711674;Søften Kultur- og Idrætscenter;Søften;Favrskov Kommune;F808710012.htm;F808710012.htm;Favrskov Kommune;Søften;Favrskovkredsen
710;1290639;706360;Voldum Hallen;Voldum;Favrskov Kommune;F808710013.htm;F808710013.htm;Favrskov Kommune;Voldum;Favrskovkredsen
710;1290633;707272;Lading Forsamlingshus;Lading;Favrskov Kommune;F808710014.htm;F808710014.htm;Favrskov Kommune;Lading;Favrskovkredsen
320;1292093;702698;Nordskovskolen (Hallen);Haslev 01;Faxe Kommune;F505320001.htm;F505320001.htm;Faxe Kommune;Haslev 01;Faxekredsen
320;1292295;704216;Sofiendalskolen;Haslev 02;Faxe Kommune;F505320002.htm;F505320002.htm;Faxe Kommune;Haslev 02;Faxekredsen
320;1280624;701130;Faxe Hallen;Faxe;Faxe Kommune;F505320003.htm;F505320003.htm;Faxe Kommune;Faxe;Faxekredsen
320;1280618;701124;Hylleholt Hallen;Hylleholt;Faxe Kommune;F505320004.htm;F505320004.htm;Faxe Kommune;Hylleholt;Faxekredsen
320;1291983;710310;Karise Hallen;Karise;Faxe Kommune;F505320005.htm;F505320005.htm;Faxe Kommune;Karise;Faxekredsen
320;1292091;707142;Dalby Hallen;Dalby;Faxe Kommune;F505320006.htm;F505320006.htm;Faxe Kommune;Dalby;Faxekredsen
320;1291907;710328;Rønnede Hallen;Rønnede;Faxe Kommune;F505320007.htm;F505320007.htm;Faxe Kommune;Rønnede;Faxekredsen
