,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates,year,salgspris
1048,737301,6.5,7.1,746,56.0999880096949,9.63925241567208,8680,Himmelbjergegnens Natur- og Idrætsefterskole,Efterskoler,Efterskoler,"(56.0999880096949, 9.63925241567208)",2019,18686.0
1049,741004,6.2,6.3,741,55.833478583884705,10.584934047271698,8305,Samsø Skole,Grundskoler,Folkeskoler,"(55.833478583884705, 10.584934047271698)",2019,6816.0
1050,741007,7.3,7.4,741,55.84998058,10.57254443,8305,Onsbjerg Lilleskole,Grundskoler,Friskoler og private grundskoler,"(55.84998058, 10.57254443)",2019,6816.0
1051,741300,5.3,5.9,741,55.8579466712605,10.6334564467056,8305,Samsø Efterskole,Efterskoler,Efterskoler,"(55.8579466712605, 10.6334564467056)",2019,6816.0
1052,745002,7.5,7.4,746,56.0364836297848,9.923239493589962,8660,Morten Børup Skolen,Grundskoler,Folkeskoler,"(56.0364836297848, 9.923239493589962)",2019,18585.0
1053,745003,8.1,7.7,746,56.0578140255776,9.98323767394641,8660,Stilling Skole,Grundskoler,Folkeskoler,"(56.0578140255776, 9.98323767394641)",2019,18585.0
1054,745004,7.1,7.4,746,56.032460014031,10.0352455657664,8660,Virring Skole,Grundskoler,Folkeskoler,"(56.032460014031, 10.0352455657664)",2019,18585.0
1055,745005,8.0,7.8,746,56.045375930231295,9.94519956076411,8660,Niels Ebbesen Skolen,Grundskoler,Folkeskoler,"(56.045375930231295, 9.94519956076411)",2019,18585.0
1056,745006,8.4,8.1,746,56.037857323472394,9.92968731092169,8660,Skanderborg Realskole,Grundskoler,Friskoler og private grundskoler,"(56.037857323472394, 9.92968731092169)",2019,18585.0
1057,745300,7.2,7.5,746,55.9832398480308,9.91854857494033,8660,Brøruphus Efterskole,Efterskoler,Efterskoler,"(55.9832398480308, 9.91854857494033)",2019,18585.0
1058,747001,6.5,6.4,707,56.4279268853575,10.3834734471174,8963,Auning Skole,Grundskoler,Folkeskoler,"(56.4279268853575, 10.3834734471174)",2019,10013.0
