,institutionsnummer,karakter,soc_ref,beliggenhedskommunenr,lat,lon,postnr,navn,institutionstype2,institutionstype3,coordinates,postnavn,komnavn,year,salgspris,disindk,langledig,kriminelitet,lavindk,skilsmisser,andel_indv
1049,789300,4.3,5.3,791,56.4986965939112,9.7525317906004,8830,Tjele Efterskole,Efterskoler,Efterskoler,"(56.4986965939112, 9.7525317906004)",Tjele,Viborg Kommune,2011,7843.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1050,791003,6.2,6.5,791,56.400879548072396,9.351558624360461,8800,Hald Ege Skole,Grundskoler,Folkeskoler,"(56.400879548072396, 9.351558624360461)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1051,791005,6.5,6.4,791,56.4629167988371,9.40898636305755,8800,Nordre Skole,Grundskoler,Folkeskoler,"(56.4629167988371, 9.40898636305755)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1052,791006,6.9,6.9,791,56.4475275855282,9.43756812023007,8800,Overlund Skole,Grundskoler,Folkeskoler,"(56.4475275855282, 9.43756812023007)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1053,791008,6.5,6.6,791,56.432886878483295,9.39094753559648,8800,Søndre Skole,Grundskoler,Folkeskoler,"(56.432886878483295, 9.39094753559648)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1054,791010,6.8,6.4,791,56.4524666439476,9.397869750143462,8800,Vestre Skole,Grundskoler,Folkeskoler,"(56.4524666439476, 9.397869750143462)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1055,791013,6.9,6.9,791,56.4647752162627,9.389109130171981,8800,Vestervang Skole,Grundskoler,Folkeskoler,"(56.4647752162627, 9.389109130171981)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1056,791014,7.3,6.9,791,56.44896291612571,9.403078561260779,8800,Viborg Private Realskole,Grundskoler,Friskoler og private grundskoler,"(56.44896291612571, 9.403078561260779)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1057,791015,6.6,6.8,791,56.4588150195428,9.405774482320787,8800,Friskolen i Viborg,Grundskoler,Friskoler og private grundskoler,"(56.4588150195428, 9.405774482320789)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
1058,791020,6.2,6.2,791,56.46374282227261,9.45622621080107,8800,Houlkærskolen,Grundskoler,Folkeskoler,"(56.46374282227261, 9.45622621080107)",Viborg,Viborg Kommune,2011,10088.0,194133,1.3250000000000002,2.9,14.6,12.8,3.4305967380773823
