,institutionsnummer,Karakter,Soc_ref,beliggenhedskommunenr,lat,lon,postnr,student_count,navn,institutionstype2,institutionstype3,coordinates
754,577300,4.8,5.8,573.0,55.8094338210771,8.63200183584998,6870.0,95.0,Ølgod Efterskole,Efterskoler,Efterskoler,"(55.8094338210771, 8.63200183584998)"
755,577301,7.7,7.5,573.0,55.73862318531221,8.70200871167226,6823.0,88.0,Skovlund Efterskole,Efterskoler,Efterskoler,"(55.73862318531221, 8.70200871167226)"
756,601001,5.9,6.3,615.0,55.973931703081895,9.60805054317787,8740.0,602.0,Brædstrup Skole,Grundskoler,Folkeskoler,"(55.973931703081895, 9.60805054317787)"
757,603004,6.3,6.9,630.0,,,7000.0,279.0,Smidstrup-Skærup Skole,Grundskoler,Folkeskoler,"(nan, nan)"
758,603005,7.4,7.4,630.0,55.6414894611679,9.6436778519479,7080.0,740.0,Englystskolen,Grundskoler,Folkeskoler,"(55.6414894611679, 9.6436778519479)"
759,603301,7.2,7.6,630.0,55.674103931914395,9.681120454686301,7080.0,109.0,Brejning Efterskole,Efterskoler,Efterskoler,"(55.674103931914395, 9.681120454686301)"
760,605002,7.3,6.9,630.0,55.6182479396912,9.31520581622794,6040.0,439.0,Egtved Skole,Grundskoler,Folkeskoler,"(55.6182479396912, 9.31520581622794)"
761,605007,7.1,6.9,630.0,55.6572431838206,9.40373259686844,7100.0,315.0,Ødsted Skole,Grundskoler,Folkeskoler,"(55.6572431838206, 9.40373259686844)"
762,605008,6.3,6.6,630.0,55.598743398637296,9.44436395916105,6040.0,262.0,Øster Starup Skole,Grundskoler,Folkeskoler,"(55.598743398637296, 9.44436395916105)"
763,605009,7.1,7.4,630.0,55.7110297955688,9.37355986387069,7182.0,187.0,"Balle Friskole, Balle Musik- & Idrætsefterskole",Grundskoler,Friskoler og private grundskoler,"(55.7110297955688, 9.37355986387069)"
764,605300,7.4,7.6,630.0,55.7110297955688,9.37355986387069,7182.0,167.0,"Balle Friskole, Balle Musik- & Idrætsefterskole",Efterskoler,Efterskoler,"(55.7110297955688, 9.37355986387069)"
765,605301,6.7,7.1,630.0,55.71081161529779,9.20904367296821,7184.0,135.0,Vandel Efterskole,Efterskoler,Efterskoler,"(55.71081161529779, 9.20904367296821)"
766,605302,6.9,7.6,630.0,55.5853988235615,9.422389536373801,6040.0,135.0,Ågård Efterskole,Efterskoler,Efterskoler,"(55.5853988235615, 9.422389536373801)"
767,607015,8.0,7.6,607.0,55.5636651072104,9.758934928804381,7000.0,529.0,Fredericia Realskole,Grundskoler,Friskoler og private grundskoler,"(55.5636651072104, 9.758934928804381)"
